repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
adobe/commerce-cif-connector,com.adobe.commerce.cif+graphql-client-filename:pom.xml & com.adobe.commerce.cif+magento-graphql-filename:pom.xml & com.adobe.commerce.cif+graphql-filename:pom.xml & com.adobe.commerce.cif+cif-connector-graphql-filename:pom.xml,master,7,0,5,1,41
adobe/commerce-cif-graphql-client,com.adobe.commerce.cif+graphql-client-filename:pom.xml & com.adobe.commerce.cif+graphql-filename:pom.xml,master,4,1,1,1,48
adobe/commerce-cif-magento-graphql,com.shopify.graphql.support+support-filename:pom.xml & com.adobe.commerce.cif+magento-graphql-filename:pom.xml & com.adobe.commerce.cif+graphql-filename:pom.xml,master,8,0,18,41,48
adolfojunior/graphpojo,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,1,0,1335,1321,1335
adrian1388/testGradle,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.apollo+apollo-runtime-extension:gradle & com.apollographql.apollo+apollo-rx2-support-extension:gradle,master,0,0,26,26,125
AdrianBesleaga/web,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,1,0,387,387,390
adrianwilgenhoff/GraphQLSimpleUserCRUD,com.graphql-java-kickstart+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml & com.graphql-java-kickstart+graphql-java-tools-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,47,47,47
AdrielZhineo/GitHub-Demian,leona+leona-filename:pom.xml,master,0,0,662,648,681
adrymyry/hermenegildolumeras-graphql-java,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml,master,1,0,401,410,410
AdvaithD/javaQL,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml,master,0,0,99,99,99
aeakdogan/BulbulProject,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.android+gradle-plugin-extension:gradle,master,2,2,81,751,854
aerogear/aerogear-android-example-apps,com.apollographql.apollo+apollo-extension:gradle,master,1,4,247,247,335
aerogear/aerogear-android-sdk,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.apollo+apollo-runtime-extension:gradle & com.apollographql.apollo+apollo-android-support-extension:gradle,master,6,31,6,6,525
aeshes/java-backend,com.graphql-java-kickstart+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml & com.graphql-java-kickstart+graphql-java-tools-filename:pom.xml & com.graphql-java-kickstart+graphiql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,13,13,375
afelipe53/spring-boot-graphql,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,247,247,247
afterqcd/study_java,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,1,0,271,271,1106
agibalov/java-library-experiments,com.graphql-java+graphql-java-tools-extension:gradle & com.graphql-java+graphql-java-extension:gradle & com.graphql-java+voyager-spring-boot-starter-extension:gradle & graphql-java+graphql-java-extension:gradle & com.graphql-java+graphql-spring-boot-starter-extension:gradle & com.graphql-java+graphiql-spring-boot-starter-extension:gradle,master,1,1,19,150,560
agliznetsov/graphql-server,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,5,5,5
agoodman42/TabletopToolGraphQL,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.apollo+apollo-runtime-extension:gradle & com.apollographql.apollo+apollo-android-support-extension:gradle,master,0,0,464,464,464
agricenko/rest-vs-graphql,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,229,229,229
aharddreamer/chendong,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,0,0,17,17,1020
ahmar-nadeem-nor/router-otp-realtime,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,756,756,756
AhmedBarghash/graphql_android,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.apollo+apollo-runtime-extension:gradle & com.apollographql.apollo+apollo-rx2-support-extension:gradle,master,0,0,269,269,342
AhmedHS/crnk_example,com.yahoo.elide+elide-graphql-filename:pom.xml,master,0,0,16,16,22
aikobin/kafka,grape+grape-filename:pom.xml,master,0,0,303,303,434
ainGitHub/rest-graphql,com.graphql-java+graphql-java-extension:gradle,master,0,0,793,770,793
airblock/spring-boot-initializer,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-spring-boot-starter-webmvc-filename:pom.xml,master,0,0,114,114,114
ajainy/graphql-learn,graphql-java+graphql-java-filename:pom.xml,master,0,0,744,744,745
ajeshgeorge22/apollo-engine_graphql-springboot,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,0,1,229,229,229
ajnarayan/GraphQLTest,com.graphql-java+graphql-java-extension:gradle & com.graphql-java+graphql-java-tools-extension:gradle & com.graphql-java+graphql-java-servlet-extension:gradle & graphql-java+graphql-java-extension:gradle,master,0,0,486,487,487
ak1118/Locus_Project_Group,com.amazonaws+aws-android-sdk-appsync-gradle-plugin-extension:gradle & com.amazonaws+aws-android-sdk-appsync-extension:gradle,master,0,0,33,33,70
