repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
afs/JenaSesame,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,22,17,178,388,3448
afs/lizard,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,11,1,549,1006,1967
afs/Logging,org.apache.jena+jena-filename:pom.xml,master,0,0,58,58,761
afs/rdf-delta,org.apache.jena+jena-filename:pom.xml,master,18,4,7,7,1078
afs/tdb3,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,4,0,45,610,610
afs/xsd4ld,org.apache.jena+jena-filename:pom.xml,master,4,0,46,46,1531
afs/Zeno,org.apache.jena+jena-filename:pom.xml,master,1,0,610,761,761
afsarali273/SiriousXM,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,602,602,602
ag-csw/aspect-owl-protege,edu.stanford.protege+sparql-query-plugin-filename:pom.xml,master,0,0,106,106,1367
ag-csw/ExpertFinder,org.apache.jena+jena-filename:build.xml,master,1,1,1172,1597,1612
ag-csw/loomp,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,8,2,57,1579,2079
ag-csw/OntoMaven,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,2,2,1172,723,2019
ag-sc/AMUSE,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,2,5,252,330,758
ag-sc/DUDES,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,1,917,729,1358
ag-sc/InterQA,org.apache.jena+apache-jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,3,1,100,965,1449
ag-sc/lemon.api,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,2,822,817,952
ag-sc/matoll,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,8,4,333,826,1573
ag-sc/SchemaInduction,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,852,852,1071
ag-sc/SCIExplorer,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,1,335,335,665
ag-sc/SCIOExtraction,org.apache.jena+jena-filename:pom.xml,master,0,0,14,14,14
ag-sc/SpinalCordInjuryOBIE,org.apache.jena+jena-filename:pom.xml,master,0,0,75,75,218
ag-sc/Weasel,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,1365,1387,1415
agentlab/rdf-scheme-editor-server,org.eclipse.rdf4j+rdf4j-filename:pom.xml,master,0,0,14,13,105
agentlab/ru.agentlab.maia,edu.stanford.protege+de-derivo-sparqldlapi-filename:pom.xml,develop,0,28,1112,719,1129
agentlab/searchassistant,org.apache.stanbol+org.apache.stanbol-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,938,1016,1038
AggelikiKonstadinidou/RuleBasedMatchMaker_RESTful_WS_Maven_Aggeliki,org.apache.jena+apache-jena-filename:pom.xml,master,0,0,1345,1345,1568
agilebirds/openflexo,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,12,3,37,1910,2830
AgingMiner/chemical,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,252,252,383
agleoni/ProvaMaven,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,147,147,154
agnesfroeschl/file-system-log-service,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1,1,26
agodoy/DSpace,org.apache.jena+jena-filename:pom.xml,master,0,0,692,651,692
agodoy/DSpaceRelease5.8,org.apache.jena+jena-filename:pom.xml,master,0,0,597,597,597
agodoy/DSpaceRelease5.8_1,org.apache.jena+jena-filename:pom.xml,master,1,0,179,595,596
agodoy/DSpaceRelease6.2,org.apache.jena+jena-filename:pom.xml,master,1,0,179,555,636
agp8x/geogame,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,1073,1203,1227
agprst/Semantic-Smart-Lights,org.apache.jena+jena-filename:pom.xml,master,0,0,532,532,532
agreementmaker/agreementmaker,org.openrdf.sesame+sesame-filename:pom.xml & com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,18,22,82,221,1381
agroknow/Rdfization,com.hp.hpl.jena+jena-filename:pom.xml & org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.eclipse.rdf4j+rdf4j-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,1,48,48,69
ahajri/BTalk,org.apache.jena+jena-filename:pom.xml,master,1,0,813,813,1220
ahajri/CertifTravel,org.apache.jena+jena-filename:pom.xml,master,0,0,1134,1134,1134
aharth/fuse,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,506,509,509
ahas36/RDF2Entity,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,394,394,394
ahemaid/conceptView,org.apache.jena+jena-filename:pom.xml,dev,0,0,638,188,638
ahemaid/java,org.apache.jena+jena-filename:pom.xml,master,0,0,729,729,743
ahemaid/namedGraphV,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,118,118,143
ahemaid/parseMe,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,462,458,462
ahemaid/test,org.apache.jena+jena-filename:pom.xml,master,0,0,594,531,605
ahemaid/VoColApp,org.apache.jena+jena-filename:pom.xml,master,0,0,573,572,573
ahmadassaf/linked-dataset-profiling-tool,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,1,0,834,1353,1827
ahmdIbrhm/LinkingDatasets,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,15,15,22
ahmedkassi/Ethics,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,303,303,312
ahmedkassi/ProjetSemanticWeb,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,542,540,542
aic-sri-international/aic-praise,org.apache.jena+jena-filename:pom.xml,master,10,2,26,14,1495
AidanDelaney/slic,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1911,1911,2018
aifb/s2apite,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.marmotta+marmotta-ldcache-file-filename:pom.xml & org.openrdf.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml & org.apache.marmotta+marmotta-ldcache-kiwi-filename:pom.xml & org.apache.marmotta+kiwi-sparql-filename:pom.xml & org.apache.marmotta+marmotta-ldcache-common-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.marmotta+marmotta-sparql-filename:pom.xml & org.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml & org.openrdf.sesame+sesame-sparql-testsuite-filename:pom.xml & org.openrdf.sesame+sesame-repository-sparql-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.openrdf.sesame+sesame-queryresultio-sparqlxml-filename:pom.xml & org.openrdf.sesame+sesame-queryresultio-sparqljson-filename:pom.xml & org.apache.marmotta+marmotta-filename:pom.xml,master,0,1,834,484,834
aifb/SelfGovernedComponents,org.apache.jena+jena-arq-extension:gradle & org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-extension:gradle & org.openrdf.sesame+sesame-extension:gradle & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,153,153,628
